caldt,T-bill,Mkt Index,Your Portfolio
20130221,0,-0.66,-0.672
20130222,0,0.94,1.108
20130225,0,-1.82,-1.46
20130226,0,0.58,0.808
20130227,0,1.29,1.5
20130228,0,-0.05,0.226
20130301,0,0.22,1.006
20130304,0,0.47,1.154
20130305,0,1,1.168
20130306,0,0.18,-0.252
20130307,0,0.27,-0.21
20130308,0,0.52,0.604
20130311,0,0.3,0.018
20130312,0,-0.22,-0.286
20130313,0,0.2,0.218
20130314,0,0.58,0.076
20130315,0,-0.19,-0.796
20130318,0,-0.5,-0.362
20130319,0,-0.24,-0.054
20130320,0,0.76,0.994
20130321,0,-0.85,-0.64
20130322,0,0.62,0.914
20130325,0,-0.29,-0.314
20130326,0,0.76,1.15
20130327,0,-0.02,0.244
20130328,0,0.39,0.87
20130401,0,-0.57,-0.372
20130402,0,0.33,0.72
20130403,0,-1.16,-1.418
20130404,0,0.42,0.378
20130405,0,-0.41,-0.536
20130408,0,0.7,0.682
20130409,0,0.31,-0.05
20130410,0,1.28,1.322
20130411,0,0.35,0.722
20130412,0,-0.28,0.14
20130415,0,-2.48,-2.45
20130416,0,1.47,1.884
20130417,0,-1.46,-0.944
20130418,0,-0.71,-0.866
20130419,0,0.97,1.648
20130422,0,0.45,0.504
20130423,0,1.11,0.792
20130424,0,0.06,-1.206
20130425,0,0.49,0.34
20130426,0,-0.2,-0.11
20130429,0,0.67,0.358
20130430,0,0.29,-0.148
20130501,0,-1.08,-0.948
20130502,0,1.04,1.196
20130503,0,1.12,0.814
20130506,0,0.23,-0.31
20130507,0,0.54,0.57
20130508,0,0.44,-0.004
20130509,0,-0.31,-0.112
20130510,0,0.54,0.732
20130513,0,-0.02,0.232
20130514,0,1.1,1.19
20130515,0,0.51,0.636
20130516,0,-0.5,-0.806
20130517,0,1.04,0.764
20130520,0,-0.06,-0.96
20130521,0,0.16,0.202
20130522,0,-0.92,-0.764
20130523,0,-0.19,-0.082
20130524,0,-0.06,0
20130528,0,0.77,0.92
20130529,0,-0.7,-1.408
20130530,0,0.5,0.302
20130531,0,-1.31,-1.34
20130603,0,0.48,0.342
20130604,0,-0.55,-0.712
20130605,0,-1.38,-1.542
20130606,0,0.89,1.232
20130607,0,1.3,1.6
20130610,0,0.07,0.016
20130611,0,-1.04,-0.86
20130612,0,-0.82,-1.054
20130613,0,1.47,1.584
20130614,0,-0.59,-0.128
20130617,0,0.74,0.896
20130618,0,0.8,0.92
20130619,0,-1.28,-1.298
20130620,0,-2.45,-3.074
20130621,0,0.13,-0.2
20130624,0,-1.19,-1.034
20130625,0,0.96,0.75
20130626,0,0.92,1.394
20130627,0,0.77,0.842
20130628,0,-0.33,-0.492
20130701,0,0.71,1.082
20130702,0,-0.1,-0.196
20130703,0,0.11,0.26
20130705,0,1.11,1.188
20130708,0,0.53,0.62
20130709,0,0.74,0.662
20130710,0,0.06,0.114
20130711,0,1.32,1.746
20130712,0,0.33,0.504
20130715,0,0.2,-0.076
20130716,0,-0.41,-0.812
20130717,0,0.3,0.402
20130718,0,0.54,0.072
20130719,0,0.09,-0.042
20130722,0,0.22,0.136
20130723,0,-0.15,-0.486
20130724,0,-0.39,-0.192
20130725,0,0.42,0.624
20130726,0,0.02,0.164
20130729,0,-0.37,-0.454
20130730,0,0.12,0.486
20130731,0,0.09,0.408
20130801,0,1.4,1.754
20130802,0,0.2,0.68
20130805,0,-0.07,-0.028
20130806,0,-0.68,-0.866
20130807,0,-0.42,-0.684
20130808,0,0.47,0.524
20130809,0,-0.29,-0.11
20130812,0,-0.02,-0.008
20130813,0,0.2,0.224
20130814,0,-0.5,-0.836
20130815,0,-1.47,-2.166
20130816,0,-0.26,-0.062
20130819,0,-0.62,-0.278
20130820,0,0.53,0.734
20130821,0,-0.59,-0.158
20130822,0,0.93,1.122
20130823,0,0.38,0.26
20130826,0,-0.29,0.076
20130827,0,-1.75,-2.128
20130828,0,0.3,0.444
20130829,0,0.34,1.042
20130830,0,-0.47,-0.608
20130903,0,0.46,0.976
20130904,0,0.83,1.208
20130905,0,0.19,0.004
20130906,0,0.01,-0.122
20130909,0,1.09,1.204
20130910,0,0.8,1.1
20130911,0,0.28,0.268
20130912,0,-0.32,-0.08
20130913,0,0.29,0.278
20130916,0,0.49,0.418
20130917,0,0.54,0.678
20130918,0,1.1,1.088
20130919,0,-0.13,0.278
20130920,0,-0.63,-0.546
20130923,0,-0.45,-0.57
20130924,0,-0.12,0.228
20130925,0,-0.23,-0.44
20130926,0,0.42,1.062
20130927,0,-0.39,-0.156
20130930,0,-0.49,-0.37
20131001,0,0.9,1.26
20131002,0,-0.1,-0.13
20131003,0,-0.88,-1.072
20131004,0,0.74,0.986
20131007,0,-0.95,-1.412
20131008,0,-1.35,-2.454
20131009,0,-0.05,-0.56
20131010,0,2.23,2.962
20131011,0,0.71,0.854
20131014,0,0.44,0.668
20131015,0,-0.73,-0.694
20131016,0,1.37,1.658
20131017,0,0.7,0.814
20131018,0,0.73,0.952
20131021,0,-0.02,-0.146
20131022,0,0.5,0.212
20131023,0,-0.51,-0.642
20131024,0,0.42,0.684
20131025,0,0.33,0.102
20131028,0,0.09,-0.276
20131029,0,0.54,0.768
20131030,0,-0.61,-1.168
20131031,0,-0.34,0.134
20131101,0,0.2,0.032
20131104,0,0.47,0.506
20131105,0,-0.23,0.286
20131106,0,0.27,-0.732
20131107,0,-1.46,-2.264
20131108,0,1.45,1.96
20131111,0,0.12,0.348
20131112,0,-0.19,0.182
20131113,0,0.9,1.35
20131114,0,0.43,0.196
20131115,0,0.43,0.562
20131118,0,-0.5,-1.316
20131119,0,-0.27,-0.732
20131120,0,-0.33,-0.306
20131121,0,0.97,1.552
20131122,0,0.5,0.728
20131125,0,-0.11,-0.41
20131126,0,0.18,0.828
20131127,0,0.3,0.222
20131129,0,-0.02,-0.044
